Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Sector
AAN,Aaron's Inc,30.13,2.37,+8.54%,30.26,26.08,1463600,03/13/20,Industrials
AAXN,Axon Inc,62.43,5.71,+10.07%,62.79,54.7,996800,03/13/20,Industrials
ACC,American Campus Communities Inc,37.83,2.99,+8.58%,37.94,34.82,2333100,03/13/20,Real Estate
ACHC,Acadia Healthcr Company,21.82,2.24,+11.44%,21.9,18.6,1474300,03/13/20,Healthcare
ACIW,Aci Worldwide Inc,26.72,1.38,+5.43%,26.76,24.53,1284600,03/13/20,Technology
ACM,Aecom Technology Corp,33.4,2.55,+8.27%,33.44,31.22,2438000,03/13/20,Industrials
ADNT,Adient Plc,13.95,0.71,+5.36%,14.31,12.12,1732200,03/13/20,Consumer Cyclical
AEO,American Eagle Outfitters,10.1,1.16,+12.98%,10.11,8.94,6706000,03/13/20,Consumer Cyclical
AFG,American Financial Group,76.24,4.32,+6.01%,76.33,69.05,706400,03/13/20,Financial Services
AGCO,Agco Corp,55.33,5.03,+10.00%,55.34,50.73,905600,03/13/20,Industrials
ALE,Allete Inc,65.01,2.4,+3.83%,66.0,60.5,438600,03/13/20,Utilities
AM,Antero Midstream Corp,3.16,0.17,+5.69%,3.29,2.63,9789900,03/13/20,Energy
AMCX,Amc Networks Cl A,27.94,2.6,+10.24%,28.0,24.72,961900,03/13/20,Communication Services
AMED,Amedisys Inc,165.97,11.71,+7.59%,165.98,148.89,284400,03/13/20,Healthcare
AMG,Affiliated Managers Group,57.17,6.79,+13.48%,57.2,51.58,983800,03/13/20,Financial Services
AN,Autonation Inc,34.01,1.15,+3.50%,34.69,31.25,1292300,03/13/20,Consumer Cyclical
APY,Apergy Corp,6.66,0.01,+0.15%,7.14,5.61,1789500,03/13/20,Energy
ARW,Arrow Electronics,56.81,3.91,+7.39%,56.89,51.29,797900,03/13/20,Technology
ARWR,Arrowhead Pharma,26.32,1.31,+5.24%,26.67,22.64,2682900,03/13/20,Healthcare
ASB,Associated Banc-Corp,13.84,1.03,+8.04%,13.98,12.7,2194800,03/13/20,Financial Services
ASGN,On Assignment,40.98,5.72,+16.22%,40.98,35.85,903300,03/13/20,Industrials
ASH,Ashland Global Holdings Inc,53.08,1.47,+2.85%,54.87,49.71,592800,03/13/20,Basic Materials
ATGE,Adtalem Global Education Inc,26.86,1.51,+5.96%,26.97,25.01,1004700,03/13/20,Consumer Defensive
ATI,Allegheny Technologies Inc,10.0,0.0,0.00%,10.86,9.37,3341800,03/13/20,Industrials
ATR,Aptargroup,96.39,1.99,+2.11%,99.44,91.12,595900,03/13/20,Consumer Cyclical
AVNS,Avanos Medical Inc,26.37,2.55,+10.71%,26.42,21.57,620300,03/13/20,Healthcare
AVT,Avnet Inc,26.7,3.26,+13.91%,26.71,24.06,1538100,03/13/20,Technology
AYI,Acuity Brands Inc,95.68,7.67,+8.71%,95.68,85.6,463100,03/13/20,Industrials
BBBY,Bed Bath & Beyond,7.29,1.0,+15.90%,7.36,5.86,16613699,03/13/20,Consumer Cyclical
BC,Brunswick Corp,41.61,4.94,+13.47%,41.68,36.01,1052300,03/13/20,Consumer Cyclical
BCO,Brink's Company,63.61,6.17,+10.74%,63.61,56.67,566600,03/13/20,Industrials
BDC,Belden Inc,37.61,3.2,+9.30%,37.67,34.82,636900,03/13/20,Industrials
BHF,Brighthouse Financial Inc,23.26,3.32,+16.65%,23.79,20.35,2010000,03/13/20,Financial Services
BIO,Bio-Rad Laboratories,347.79,27.78,+8.68%,348.81,321.63,271500,03/13/20,Healthcare
BJ,Bj's Wholesale Club Holdings Inc,23.78,1.33,+5.92%,23.92,21.75,3814900,03/13/20,Consumer Defensive
BKH,Black Hills Corp,65.89,3.7,+5.95%,66.47,60.6,628800,03/13/20,Utilities
BLKB,Blackbaud Inc,55.92,1.29,+2.36%,59.49,51.63,564400,03/13/20,Technology
BOH,Bank of Hawaii Corp,65.14,7.16,+12.35%,65.19,59.59,383800,03/13/20,Financial Services
BRO,Brown & Brown,39.84,2.25,+5.99%,39.87,36.42,2854900,03/13/20,Financial Services
BRX,Brixmor Property Group Inc,14.55,1.28,+9.65%,14.59,12.94,3347400,03/13/20,Real Estate
BXS,Bancorpsouth Inc,20.6,1.5,+7.85%,20.63,18.96,1062300,03/13/20,Financial Services
BYD,Boyd Gaming Corp,15.34,0.8,+5.50%,16.0,13.93,3171300,03/13/20,Consumer Cyclical
CABO,Cable One Inc,1377.88,77.9,+5.99%,1385.51,1222.94,62500,03/13/20,Communication Services
CACI,Caci International,219.25,24.76,+12.73%,220.33,188.16,353900,03/13/20,Technology
CAKE,Cheesecake Fact,23.51,2.03,+9.45%,23.99,20.87,2549200,03/13/20,Consumer Cyclical
CAR,Avis Budget Group,18.01,2.48,+15.97%,18.01,14.81,5031900,03/13/20,Industrials
CASY,Casey's General Stor,162.14,16.5,+11.33%,163.15,143.98,706200,03/13/20,Consumer Defensive
CATY,Cathay Genl Bncp,23.06,3.04,+15.18%,23.15,19.81,994100,03/13/20,Financial Services
CBRL,Cracker Barrel,99.28,5.75,+6.15%,100.45,92.78,778600,03/13/20,Consumer Cyclical
CBSH,Commerce Bancshares,56.96,6.38,+12.61%,57.09,52.83,1287700,03/13/20,Financial Services
CBT,Cabot Corp,32.27,3.94,+13.91%,32.3,26.93,787200,03/13/20,Basic Materials
CC,Chemours Company,10.3,1.01,+10.87%,10.3,8.68,4333000,03/13/20,Basic Materials
CCMP,Cabot Microelectron,121.09,23.0,+23.45%,122.24,102.33,691500,03/13/20,Technology
CDAY,Ceridian Hcm Holding Inc,55.05,6.43,+13.23%,55.37,48.38,1847300,03/13/20,Technology
CDK,Cdk Global Inc,37.74,-0.38,-1.00%,40.34,36.34,2342800,03/13/20,Technology
CFR,Cullen/Frost Bankers,62.25,9.15,+17.23%,62.26,55.09,1006600,03/13/20,Financial Services
CFX,Colfax Corp,23.5,2.13,+9.97%,23.52,21.2,1903400,03/13/20,Industrials
CGNX,Cognex Cp,44.63,5.64,+14.47%,44.78,39.1,1937100,03/13/20,Technology
CHDN,Churchill Downs IN,92.77,15.74,+20.43%,93.24,78.56,949200,03/13/20,Consumer Cyclical
CHE,Chemed Inc,420.72,40.53,+10.66%,422.49,377.65,165500,03/13/20,Healthcare
CHH,Choice Hotels International,74.13,2.28,+3.17%,76.1,70.12,880600,03/13/20,Consumer Cyclical
CHK,Chesapeake Energy Corp,0.3,0.15,+95.95%,0.3,0.15,220022594,03/13/20,Energy
CIEN,Ciena Corp,37.02,2.29,+6.59%,37.02,34.13,2466800,03/13/20,Technology
CIT,Cit Group Inc,22.84,2.23,+10.82%,22.86,20.33,2303400,03/13/20,Financial Services
CLB,Core Laboratories N.V.,8.49,0.43,+5.33%,9.13,7.9,2886100,03/13/20,Energy
CLGX,Corelogic,43.9,0.96,+2.24%,45.46,41.58,1276200,03/13/20,Technology
CLH,Clean Harbors,54.33,1.52,+2.88%,56.29,50.44,658200,03/13/20,Industrials
CLI,Mack-Cali Realty Corp,18.84,2.33,+14.11%,18.85,17.13,1495000,03/13/20,Real Estate
