Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Sector
CMC,Commercial Metals Company,15.15,1.64,+12.14%,15.15,13.4,2054100,03/13/20,Basic Materials
CMD,Cantel Medical,43.45,-1.18,-2.64%,46.66,40.52,536600,03/13/20,Healthcare
CMP,Compass Minerals Intl Inc,43.33,3.68,+9.28%,43.38,39.53,439000,03/13/20,Basic Materials
CNK,Cinemark Holdings Inc,14.7,0.02,+0.14%,16.01,13.34,7679000,03/13/20,Communication Services
CNO,Cno Financial Group,12.76,1.41,+12.42%,12.76,11.3,2608700,03/13/20,Financial Services
CNX,CNX Resources Corp,6.72,1.48,+28.24%,7.22,5.07,14896300,03/13/20,Energy
COHR,Coherent Inc,111.54,5.61,+5.30%,112.92,104.58,441200,03/13/20,Technology
COLM,Columbia Sprtswr,70.23,5.95,+9.26%,70.37,63.27,653200,03/13/20,Consumer Cyclical
CONE,Cyrusone Inc,57.45,7.71,+15.50%,57.62,52.01,2899100,03/13/20,Real Estate
COR,Coresite Realty Corp,108.86,11.68,+12.02%,109.35,96.68,509100,03/13/20,Real Estate
CPT,Camden Property Trust,95.97,8.47,+9.68%,96.75,86.29,1587300,03/13/20,Real Estate
CR,Crane Company,55.5,5.03,+9.97%,55.5,50.56,516800,03/13/20,Industrials
CREE,Cree Inc,33.05,3.9,+13.38%,34.27,30.19,1952900,03/13/20,Technology
CRI,Carter's Inc,75.53,2.03,+2.76%,77.09,73.04,1123900,03/13/20,Consumer Cyclical
CRL,Charles River Laboratories Intl,128.93,4.83,+3.89%,132.06,117.84,622400,03/13/20,Healthcare
CRS,Carpenter Technology Corp,26.68,4.08,+18.05%,26.72,23.2,541400,03/13/20,Industrials
CRUS,Cirrus Logic Inc,61.9,8.51,+15.94%,61.98,54.43,1151100,03/13/20,Technology
CSL,Carlisle Companies Inc,132.18,12.88,+10.80%,132.41,120.93,599900,03/13/20,Industrials
CTLT,Catalent Inc,47.92,3.91,+8.88%,48.3,42.88,2034800,03/13/20,Healthcare
CUZ,Cousins Properties Inc,31.37,4.26,+15.71%,31.39,27.77,1216200,03/13/20,Real Estate
CVLT,Commvault Systems,35.1,3.29,+10.34%,35.14,31.39,1740900,03/13/20,Technology
CW,Curtiss-Wright Corp,96.42,10.95,+12.81%,96.77,86.48,655600,03/13/20,Industrials
CXW,Corecivic Inc,12.1,1.27,+11.73%,12.1,10.75,1952800,03/13/20,Real Estate
CY,Cypress Semiconductor,23.11,0.2,+0.87%,23.19,22.89,15672601,03/13/20,Technology
CZR,Caesars Entertainment Corp,8.49,0.6,+7.60%,8.61,7.87,38606398,03/13/20,Consumer Cyclical
DAN,Dana Inc,9.05,0.82,+9.96%,9.06,7.87,2988500,03/13/20,Consumer Cyclical
DAR,Darling International Inc,19.23,1.44,+8.09%,19.25,17.01,2501300,03/13/20,Consumer Defensive
DCI,Donaldson Company,43.94,3.68,+9.14%,44.02,40.33,900400,03/13/20,Industrials
DDS,Dillard's,43.73,5.03,+13.00%,43.88,38.81,430900,03/13/20,Consumer Cyclical
DECK,Deckers Outdoor Corp,129.63,-1.47,-1.12%,139.78,121.14,1004500,03/13/20,Consumer Cyclical
DEI,Douglas Emmett,34.91,3.91,+12.61%,34.91,31.44,1788400,03/13/20,Real Estate
DHC,Diversified Healthcare Trust,3.79,0.32,+9.22%,3.8,3.03,3664500,03/13/20,Real Estate
DKS,Dick's Sporting Goods Inc,26.92,-0.08,-0.30%,28.76,24.59,4193000,03/13/20,Consumer Cyclical
DLPH,Delphi Technologies Plc,11.23,0.65,+6.14%,11.34,10.38,1513100,03/13/20,Consumer Cyclical
DLX,Deluxe Corp,29.93,3.42,+12.90%,29.93,26.63,601800,03/13/20,Communication Services
DNKN,Dunkin' Brands Group,61.95,7.49,+13.75%,62.56,56.82,2339800,03/13/20,Consumer Cyclical
DNOW,Now Inc,6.61,0.34,+5.42%,6.74,5.75,1629300,03/13/20,Energy
DPZ,Domino's Pizza Inc,316.63,-0.48,-0.15%,329.08,297.32,1208600,03/13/20,Consumer Cyclical
DY,Dycom Industries,20.3,4.5,+28.48%,20.54,16.09,1339300,03/13/20,Industrials
EAT,Brinker International,17.16,-0.02,-0.12%,18.96,14.83,2653300,03/13/20,Consumer Cyclical
EGP,Eastgroup Properties,111.39,18.57,+20.01%,111.39,97.74,726000,03/13/20,Real Estate
EHC,Encompass Health Corp,63.91,4.91,+8.32%,64.03,57.6,1097700,03/13/20,Healthcare
EME,Emcor Group,62.85,7.91,+14.40%,62.85,55.54,797400,03/13/20,Industrials
ENR,Energizer Holdings Inc,40.13,0.0,0.00%,42.32,38.03,1303200,03/13/20,Industrials
ENS,Enersys Inc,48.11,4.82,+11.13%,48.11,41.53,571600,03/13/20,Industrials
EPC,Edgewell Personal Care,29.3,4.39,+17.62%,29.31,24.41,1294000,03/13/20,Consumer Defensive
EPR,Entertainment Properties Trust,33.15,4.86,+17.18%,34.67,26.46,3478700,03/13/20,Real Estate
EQT,Eqt Corp,9.53,2.59,+37.32%,9.53,6.89,21564102,03/13/20,Energy
ERI,Eldorado Resorts,18.22,2.74,+17.70%,19.8,15.01,7935400,03/13/20,Consumer Cyclical
ETRN,Equitrans Midstream Corp,5.22,0.97,+22.82%,5.22,4.26,11401200,03/13/20,Energy
ETSY,Etsy Inc,49.01,4.97,+11.29%,49.06,44.29,3970100,03/13/20,Consumer Cyclical
EV,Eaton Vance Corp,32.69,3.8,+13.15%,32.87,27.89,1444400,03/13/20,Financial Services
EVR,Evercore Partners Inc,49.4,5.64,+12.89%,49.4,44.88,859400,03/13/20,Financial Services
EWBC,East West Bancorp,31.96,2.18,+7.32%,32.7,30.22,3856900,03/13/20,Financial Services
EXEL,Exelixis Inc,16.77,1.52,+9.97%,16.84,14.48,5017900,03/13/20,Healthcare
EXP,Eagle Materials Inc,64.86,11.37,+21.26%,65.13,54.55,736800,03/13/20,Basic Materials
FAF,First American Corp,53.71,-0.43,-0.79%,56.39,50.01,2088700,03/13/20,Financial Services
FCFS,First Cash Fin Svcs,83.79,8.67,+11.54%,83.8,75.19,626100,03/13/20,Financial Services
FCN,Fti Consulting,120.4,10.02,+9.08%,120.42,111.47,630300,03/13/20,Industrials
FDS,Factset Research Systems Inc,253.07,19.65,+8.42%,253.52,235.04,475600,03/13/20,Financial Services
FFIN,First Finl Bkshs Inc,26.22,2.37,+9.94%,26.29,23.56,1222700,03/13/20,Financial Services
FHI,Federated Investors,20.23,1.47,+7.84%,20.28,18.25,1287100,03/13/20,Financial Services
FHN,First Horizon National Corp,9.94,1.09,+12.32%,10.17,8.82,7767800,03/13/20,Financial Services
FICO,Fair Isaac and Company Inc,303.55,24.42,+8.75%,304.03,255.7,517900,03/13/20,Technology
FIVE,Five Below Inc,76.56,4.54,+6.30%,78.26,68.28,2954300,03/13/20,Consumer Cyclical
FL,Footlocker Inc,23.13,1.64,+7.63%,23.46,21.04,6476900,03/13/20,Consumer Cyclical
FLO,Flowers Foods,22.61,2.1,+10.24%,22.62,20.89,2522200,03/13/20,Consumer Defensive
FLR,Fluor Corp,6.98,0.73,+11.68%,6.98,6.11,3403400,03/13/20,Industrials
FNB,F.N.B. Corp,8.57,1.01,+13.36%,8.57,7.73,2958100,03/13/20,Financial Services
FR,First Industrial Realty Trust,34.59,3.8,+12.34%,34.71,31.02,1236400,03/13/20,Real Estate
FSLR,First Solar Inc,35.96,-0.6,-1.64%,39.64,34.14,1718800,03/13/20,Technology
FULT,Fulton Financial Cor,12.94,1.38,+11.94%,12.96,11.92,2337400,03/13/20,Financial Services
GATX,GATX Corp,64.97,9.4,+16.92%,65.02,57.67,533600,03/13/20,Industrials
GEF,Greif Bros. Corp,28.05,2.92,+11.62%,28.12,25.51,371400,03/13/20,Consumer Cyclical
GEO,Geo Group Inc,12.74,1.5,+13.35%,12.75,11.25,2476100,03/13/20,Real Estate
GGG,Graco Inc,46.62,3.8,+8.87%,46.68,42.77,1953500,03/13/20,Industrials
GHC,Graham Holdings Company,430.32,26.34,+6.52%,431.47,390.77,61100,03/13/20,Consumer Defensive
GMED,Globus Medical Inc,37.21,-1.26,-3.28%,40.56,34.74,2182900,03/13/20,Healthcare
GNRC,Generac Holdings Inc,99.51,5.11,+5.41%,99.9,94.17,1023700,03/13/20,Industrials
GNTX,Gentex Corp,25.21,1.98,+8.52%,25.29,23.37,3533500,03/13/20,Consumer Cyclical
GNW,Genworth Financial Inc,4.12,0.03,+0.73%,4.31,3.73,6843000,03/13/20,Financial Services
GRUB,Grubhub Inc,37.87,2.37,+6.68%,38.48,34.57,3500800,03/13/20,Communication Services
GT,Goodyear Tire Rubber,7.21,0.82,+12.83%,7.33,6.2,8777200,03/13/20,Consumer Cyclical
HAE,Haemonetics Corp,93.2,-1.3,-1.38%,99.52,85.29,612700,03/13/20,Healthcare
HAIN,Hain Celestial Group,21.31,0.81,+3.95%,21.38,19.98,1665700,03/13/20,Consumer Defensive
HCSG,Healthcare Svcs Gp,22.59,2.6,+13.01%,22.7,20.42,1577600,03/13/20,Healthcare
HE,Hawaiian Electric Industries,43.69,3.79,+9.50%,43.84,40.68,1745000,03/13/20,Utilities
HELE,Helen of Troy Ltd,136.27,16.39,+13.67%,136.29,120.01,453800,03/13/20,Consumer Defensive
HIW,Highwoods Properties,40.43,3.77,+10.28%,40.79,35.73,2085900,03/13/20,Real Estate
HNI,Hon Industries Inc,24.75,1.32,+5.63%,25.45,23.18,440100,03/13/20,Industrials
HOMB,Home Bancshares Inc,13.97,1.63,+13.21%,13.97,12.19,1637400,03/13/20,Financial Services
HQY,Healthequity,53.99,7.09,+15.12%,54.0,46.51,1137900,03/13/20,Healthcare
HR,Healthcare Realty Trust Inc,34.0,2.28,+7.19%,34.18,30.93,2195200,03/13/20,Real Estate
HRC,Hill-Rom Holdings Inc,89.26,6.49,+7.84%,89.5,81.19,924700,03/13/20,Healthcare
HUBB,Hubbell Inc B,119.14,12.22,+11.43%,119.5,108.44,444600,03/13/20,Industrials
HWC,Hancock Whitney Corp,23.07,3.03,+15.12%,23.14,20.16,1053500,03/13/20,Financial Services
IART,Integra Lifesciences,43.39,1.47,+3.51%,44.7,39.73,1316800,03/13/20,Healthcare
IBKR,Interactive Brokers,44.12,2.69,+6.49%,44.13,39.82,1516100,03/13/20,Financial Services
IBOC,Intl Bancshares,28.7,2.7,+10.38%,28.78,26.27,559300,03/13/20,Financial Services
ICUI,I C U Medical Inc,180.56,2.55,+1.43%,190.96,167.49,250900,03/13/20,Healthcare
IDA,Idacorp Inc,89.71,6.3,+7.55%,89.88,82.48,512800,03/13/20,Utilities
IDCC,Interdigital Inc,43.65,3.37,+8.37%,43.78,39.14,352700,03/13/20,Communication Services
IIVI,I I V I Inc,24.84,3.69,+17.45%,24.88,20.39,2650500,03/13/20,Technology
INGR,Ingredion Inc,73.15,3.63,+5.22%,73.28,65.7,1142900,03/13/20,Consumer Defensive
INT,World Fuel Services Corp,23.39,1.39,+6.32%,23.56,20.7,1650700,03/13/20,Energy
ITT,ITT Inc,47.05,4.09,+9.52%,47.62,43.54,1970000,03/13/20,Industrials
JACK,Jack IN The Box Inc,43.56,3.91,+9.86%,44.98,38.46,729700,03/13/20,Consumer Cyclical
JBGS,Jbg Smith Properties,33.8,3.74,+12.44%,33.81,31.21,1536300,03/13/20,Real Estate
JBL,Jabil Circuit,24.83,1.36,+5.79%,25.68,22.29,4389800,03/13/20,Technology
JBLU,Jetblue Airways Cp,11.18,-0.31,-2.70%,12.64,10.2,22388201,03/13/20,Industrials
JCOM,J2 Global Inc,76.33,1.59,+2.13%,78.86,71.91,1116900,03/13/20,Technology
JEF,Jefferies Financial Group Inc,16.62,1.73,+11.62%,17.13,15.1,4377900,03/13/20,Financial Services
JHG,Janus Henderson Group Plc,16.22,1.55,+10.57%,16.22,14.52,2539800,03/13/20,Financial Services
JLL,Jones Lang Lasalle Inc,134.13,11.87,+9.71%,134.13,121.18,884300,03/13/20,Real Estate
JW.A,John Wiley Sons Cl A,37.93,3.61,+10.52%,38.06,34.41,821300,03/13/20,Services
KAR,Kar Auction Services Inc,17.58,0.88,+5.27%,17.93,16.14,4058600,03/13/20,Consumer Cyclical
KBH,KB Home,23.0,-0.32,-1.37%,24.91,21.08,3003800,03/13/20,Consumer Cyclical
KBR,KBR Inc,18.17,1.55,+9.33%,18.27,16.02,2706300,03/13/20,Industrials
KEX,Kirby Corp,44.21,4.95,+12.61%,44.26,39.05,845900,03/13/20,Industrials
KMPR,Kemper Corp,75.31,8.69,+13.04%,75.31,67.98,468600,03/13/20,Financial Services
KMT,Kennametal Inc,19.72,2.04,+11.54%,19.73,18.0,1605200,03/13/20,Industrials
KNX,Knight-Swift Transporation Inc,30.99,2.4,+8.39%,30.99,29.09,5028800,03/13/20,Industrials
KRC,Kilroy Realty Corp,68.99,9.65,+16.26%,68.99,60.16,1583400,03/13/20,Real Estate
LAMR,Lamar Advertis A,65.59,8.96,+15.82%,65.71,55.52,1557500,03/13/20,Real Estate
LANC,Lancaster Colony Cor,147.92,14.18,+10.60%,147.95,133.77,252900,03/13/20,Consumer Defensive
LEA,Lear Corp,97.94,11.89,+13.82%,98.01,85.74,914900,03/13/20,Consumer Cyclical
LECO,Lincoln Elec Hld,76.17,7.33,+10.65%,76.74,71.32,842400,03/13/20,Industrials
LFUS,Littelfuse Inc,129.44,-0.03,-0.02%,137.3,118.82,266000,03/13/20,Technology
LGND,Ligand Pharm,81.43,-0.73,-0.89%,86.19,70.0,895000,03/13/20,Healthcare
LII,Lennox International,211.82,3.58,+1.72%,217.71,201.61,814200,03/13/20,Industrials
LITE,Lumentum Hld,72.25,5.43,+8.13%,72.28,66.91,1810300,03/13/20,Technology
LIVN,Livanova Plc OR Sh,57.18,3.3,+6.12%,57.61,49.93,458100,03/13/20,Healthcare
LM,Legg Mason Inc,49.04,1.04,+2.17%,49.17,48.25,4096100,03/13/20,Financial Services
LOGM,Logmein Inc,81.23,0.73,+0.91%,82.05,78.88,1151000,03/13/20,Technology
LOPE,Grand Canyon Educati,75.99,4.32,+6.03%,76.23,70.3,823800,03/13/20,Consumer Defensive
LPX,Louisiana-Pacific Corp,20.71,2.59,+14.29%,20.72,18.01,2542100,03/13/20,Industrials
LSI,Life Storage,102.03,6.02,+6.27%,102.54,96.46,725800,03/13/20,Real Estate
LSTR,Landstar System,99.04,8.5,+9.39%,99.13,92.19,648000,03/13/20,Industrials
MAC,Macerich Company,13.43,-0.22,-1.61%,14.93,11.33,8432300,03/13/20,Real Estate
MAN,Manpower Inc,75.08,11.13,+17.40%,75.25,66.6,1314600,03/13/20,Industrials
MANH,Manhattan Assoc,57.46,2.19,+3.96%,60.34,54.51,726600,03/13/20,Technology
MASI,Masimo Corp,186.78,7.36,+4.10%,187.16,175.93,658400,03/13/20,Healthcare
MAT,Mattel Inc,8.25,0.35,+4.43%,8.59,7.63,14448500,03/13/20,Consumer Cyclical
MCY,Mercury General Corp,40.34,4.19,+11.59%,40.47,37.24,470900,03/13/20,Financial Services
MD,Mednax Inc,12.58,0.45,+3.71%,12.97,10.98,1644100,03/13/20,Healthcare
MDP,Meredith Corp,22.47,1.19,+5.59%,22.65,20.87,1643000,03/13/20,Communication Services
MDRX,Allscripts Hlthcare,6.1,0.59,+10.71%,6.1,5.39,3713200,03/13/20,Healthcare
MDU,Mdu Res Group Inc,23.32,0.5,+2.19%,24.04,22.2,2436700,03/13/20,Basic Materials
MKSI,Mks Instruments Inc,91.01,9.32,+11.41%,91.14,80.08,535800,03/13/20,Technology
MLHR,Miller Herman Inc,22.77,0.5,+2.25%,24.5,21.34,949100,03/13/20,Industrials
MMS,Maximus Inc,55.24,2.42,+4.58%,55.77,52.3,916600,03/13/20,Industrials
MOH,Molina Healthcare Inc,146.35,16.31,+12.54%,146.37,130.58,1380700,03/13/20,Healthcare
MPW,Medical Properties Trust,17.92,1.19,+7.11%,18.07,16.59,6349200,03/13/20,Real Estate
MPWR,Monolithic Power Sys,170.56,24.57,+16.83%,170.78,142.44,660800,03/13/20,Technology
MRCY,Mercury Sys Inc,70.34,9.44,+15.50%,70.34,62.12,885500,03/13/20,Industrials
MSA,Msa Safety Inc,116.71,20.1,+20.81%,116.71,93.82,376100,03/13/20,Industrials
MSM,Msc Industrial Direct Company,53.29,0.73,+1.39%,55.2,50.31,1651600,03/13/20,Industrials
MTDR,Matador Resources Company,2.64,0.62,+30.69%,2.64,1.87,16411600,03/13/20,Energy
MTX,Minerals Technologies Inc,35.78,3.34,+10.30%,35.78,31.55,390600,03/13/20,Basic Materials
MTZ,Mastec Inc,28.5,1.83,+6.86%,29.66,26.33,2421400,03/13/20,Industrials
MUR,Murphy Oil Corp,7.6,1.18,+18.38%,7.6,6.03,12499801,03/13/20,Energy
MUSA,Murphy USA Inc,100.45,7.34,+7.88%,100.49,94.43,619100,03/13/20,Consumer Cyclical
NATI,Natl Instruments Cor,34.11,3.01,+9.68%,34.13,31.55,912600,03/13/20,Technology
NAVI,Navient Cp,8.67,0.59,+7.30%,9.06,7.93,4210300,03/13/20,Financial Services
NCR,NCR Corp,18.75,2.37,+14.47%,18.76,15.97,1839300,03/13/20,Technology
NDSN,Nordson Corp,125.73,9.09,+7.79%,125.83,115.72,374300,03/13/20,Industrials
NEU,Newmarket Corp,371.41,7.52,+2.07%,383.48,350.75,89300,03/13/20,Basic Materials
NFG,National Fuel Gas Company,37.0,2.24,+6.44%,37.09,34.34,1015600,03/13/20,Energy
NGVT,Ingevity Corp,37.83,3.35,+9.72%,38.17,33.57,711200,03/13/20,Basic Materials
NJR,Newjersey Resources Corp,33.0,3.25,+10.92%,33.02,28.56,1329100,03/13/20,Utilities
NKTR,Nektar Therapeutics,16.6,0.49,+3.04%,17.23,14.94,1938000,03/13/20,Healthcare
NNN,National Retail Properties,48.41,4.67,+10.68%,49.79,42.76,2262500,03/13/20,Real Estate
NSP,Insperity Inc,51.44,1.18,+2.35%,53.65,48.1,1316500,03/13/20,Industrials
NTCT,Netscout Systems,21.83,1.52,+7.48%,24.27,21.27,1067000,03/13/20,Technology
NUS,Nu Skin Enterprises,19.54,0.77,+4.10%,19.81,18.68,1427700,03/13/20,Consumer Defensive
NUVA,Nuvasive Inc,43.43,0.42,+0.98%,45.45,39.7,2457900,03/13/20,Healthcare
NVT,Nvent Electric Plc,19.04,2.25,+13.40%,19.06,17.03,1524800,03/13/20,Industrials
NWE,Northwestern Corp,67.52,5.81,+9.42%,67.52,61.49,513400,03/13/20,Utilities
NYCB,New York Community Bancorp,10.6,0.91,+9.39%,10.61,9.69,5497000,03/13/20,Financial Services
NYT,New York Times Company,33.16,1.48,+4.67%,33.9,31.76,1829700,03/13/20,Communication Services
OC,Owens Corning Inc,41.75,1.59,+3.96%,42.89,38.86,2916900,03/13/20,Industrials
OFC,Corporate Office Properties,24.02,1.95,+8.84%,24.15,21.63,1070600,03/13/20,Real Estate
OGE,Oge Energy Corp,33.17,1.06,+3.30%,34.49,31.11,2377400,03/13/20,Utilities
OGS,One Gas Inc,78.98,7.95,+11.19%,78.99,69.03,616100,03/13/20,Utilities
OHI,Omega Healthcare Investors,26.49,1.63,+6.56%,27.57,22.0,6803600,03/13/20,Real Estate
OI,Owens-Illinois,7.49,1.11,+17.40%,7.53,6.41,7179500,03/13/20,Consumer Cyclical
OLED,Universal Display,145.52,5.05,+3.60%,149.62,136.84,864800,03/13/20,Technology
OLLI,Ollies Bargain CS,45.03,5.65,+14.35%,45.03,40.67,2448400,03/13/20,Consumer Defensive
OLN,Olin Corp,10.36,0.87,+9.17%,10.65,8.91,5238300,03/13/20,Basic Materials
ORI,Old Republic International Corp,17.99,1.36,+8.18%,18.0,16.76,3352400,03/13/20,Financial Services
OSK,Oshkosh Truck Corp,60.0,1.61,+2.76%,61.81,56.02,898600,03/13/20,Industrials
OZK,Bank Ozk,21.49,2.24,+11.64%,21.57,19.32,1923100,03/13/20,Financial Services
PACW,Pacwest Bancorp,23.01,1.31,+6.04%,23.95,21.57,2261100,03/13/20,Financial Services
PB,Prosperity Bancshares,56.61,6.81,+13.67%,56.87,51.01,1407500,03/13/20,Financial Services
PBF,PBF Energy Inc,16.0,5.21,+48.29%,16.0,10.07,5706700,03/13/20,Energy
PBH,Prestige Brand Holdings,34.15,0.93,+2.80%,35.87,32.56,1187700,03/13/20,Healthcare
PCH,Potlatch Cp,32.61,5.78,+21.54%,32.61,28.0,792600,03/13/20,Real Estate
PDCO,Patterson Companies,20.84,1.32,+6.76%,20.87,18.85,2123400,03/13/20,Healthcare
PEB,Pebblebrook Hotel Trust,11.06,0.68,+6.55%,11.59,8.76,6904900,03/13/20,Real Estate
