Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Sector
A,Agilent Technologies,69.2,5.78,+9.11%,69.51,63.75,3261100,03/13/20,Healthcare
AAL,American Airlines Gp,14.31,0.86,+6.39%,15.6,13.12,58376102,03/13/20,Industrials
AAP,Advance Auto Parts Inc,113.69,4.52,+4.14%,115.31,105.15,1251500,03/13/20,Consumer Cyclical
AAPL,Apple Inc,277.97,29.74,+11.98%,279.92,252.95,92683000,03/13/20,Technology
ABBV,Abbvie Inc,85.37,6.76,+8.60%,86.32,80.69,21867600,03/13/20,Healthcare
ABC,Amerisourcebergen Corp,90.0,9.51,+11.82%,90.17,80.66,2835200,03/13/20,Healthcare
ABMD,Abiomed Inc,142.82,5.85,+4.27%,142.99,136.43,1050300,03/13/20,Healthcare
ABT,Abbott Laboratories,81.65,6.91,+9.25%,82.67,74.83,18317100,03/13/20,Healthcare
ACN,Accenture Plc,166.51,13.98,+9.17%,166.71,152.93,5742800,03/13/20,Technology
ADBE,Adobe Systems Inc,335.5,50.5,+17.72%,336.0,298.0,8935200,03/13/20,Technology
ADI,Analog Devices,99.79,9.78,+10.87%,100.46,89.36,6399300,03/13/20,Technology
ADM,Archer Daniels Midland,34.64,3.1,+9.83%,34.69,31.33,6236500,03/13/20,Consumer Defensive
ADP,Automatic Data Procs,144.5,14.22,+10.91%,144.53,129.27,3604900,03/13/20,Industrials
ADS,Alliance Data Systems Corp,49.51,2.69,+5.75%,51.04,44.39,2558300,03/13/20,Financial Services
ADSK,Autodesk Inc,158.03,22.03,+16.20%,158.17,138.45,3998300,03/13/20,Technology
AEE,Ameren Corp,76.15,3.75,+5.18%,76.51,71.2,2490800,03/13/20,Utilities
AEP,American Electric Power Company,86.47,3.93,+4.76%,87.15,81.71,5127500,03/13/20,Utilities
AES,The Aes Corp,13.0,0.82,+6.73%,13.23,11.98,7406300,03/13/20,Utilities
AFL,Aflac Incorporated,34.69,3.27,+10.41%,34.85,31.16,6242100,03/13/20,Financial Services
AGN,Allergan Plc,183.85,9.28,+5.32%,184.78,178.36,4884600,03/13/20,Healthcare
AIG,American International Group,28.5,2.83,+11.02%,28.58,25.09,11920601,03/13/20,Financial Services
AIV,Apartment Investment and Management,46.05,2.8,+6.47%,46.16,41.92,2070700,03/13/20,Real Estate
AIZ,Assurant Inc,104.53,7.92,+8.20%,104.72,97.57,573600,03/13/20,Financial Services
AJG,Arthur J. Gallagher & Company,90.06,3.89,+4.51%,91.02,83.14,1826100,03/13/20,Financial Services
AKAM,Akamai Technologies,85.73,5.68,+7.10%,86.93,81.16,2820400,03/13/20,Technology
ALB,Albemarle Corp,68.01,3.22,+4.97%,69.78,62.12,2067800,03/13/20,Basic Materials
ALGN,Align Technology,195.88,15.76,+8.75%,195.97,179.05,1240500,03/13/20,Healthcare
ALK,Alaska Air Group,37.95,2.87,+8.18%,38.1,33.0,3947800,03/13/20,Industrials
ALL,Allstate Corp,92.77,8.97,+10.70%,93.06,83.1,3606100,03/13/20,Financial Services
ALLE,Allegion Plc,111.81,8.42,+8.14%,112.65,104.26,1081300,03/13/20,Industrials
ALXN,Alexion Pharm Inc,80.44,3.73,+4.86%,82.4,77.52,4517100,03/13/20,Healthcare
AMAT,Applied Materials,50.89,5.78,+12.81%,51.23,45.35,15539200,03/13/20,Technology
AMCR,Amcor Plc,6.82,0.12,+1.79%,7.3,6.32,31337600,03/13/20,Consumer Cyclical
AMD,Adv Micro Devices,43.9,4.89,+12.54%,43.91,39.6,86689594,03/13/20,Technology
AME,Amtek Inc,74.6,7.08,+10.49%,74.7,67.47,2459600,03/13/20,Industrials
AMGN,Amgen Inc,202.1,19.86,+10.90%,203.17,188.52,6903800,03/13/20,Healthcare
AMP,Ameriprise Financial Services,113.34,20.92,+22.64%,113.54,98.18,1810500,03/13/20,Financial Services
AMT,American Tower Corp,238.99,21.16,+9.71%,241.56,220.01,4220400,03/13/20,Real Estate
AMZN,Amazon.com Inc,1785.0,108.39,+6.46%,1786.31,1680.62,8809700,03/13/20,Consumer Cyclical
ANET,Arista Networks Inc,176.76,13.87,+8.51%,177.05,157.43,1073600,03/13/20,Technology
ANSS,Ansys Inc,235.42,30.96,+15.14%,235.5,214.69,1393800,03/13/20,Technology
ANTM,Anthem Inc,270.34,14.13,+5.52%,271.36,251.05,3027400,03/13/20,Healthcare
AON,AON Plc,177.45,3.96,+2.28%,183.09,168.05,4007100,03/13/20,Financial Services
AOS,Smith [A.O.] Corp,41.49,2.76,+7.13%,41.57,38.69,5280500,03/13/20,Industrials
APA,Apache Corp,8.07,0.31,+3.99%,8.59,6.95,24978801,03/13/20,Energy
APD,Air Products and Chemicals,206.36,18.63,+9.92%,206.52,188.67,2180300,03/13/20,Basic Materials
APH,Amphenol Corp,79.6,4.48,+5.96%,80.86,73.44,4231900,03/13/20,Technology
APTV,Aptiv Plc,66.47,7.07,+11.90%,66.5,60.16,2733800,03/13/20,Consumer Cyclical
ARE,Alexandria Real Estate Equities,147.74,11.35,+8.32%,148.35,133.45,2054300,03/13/20,Real Estate
ARNC,Arconic Inc,20.52,0.64,+3.22%,21.19,19.43,6150800,03/13/20,Industrials
ATO,Atmos Energy Corp,100.67,5.99,+6.33%,100.67,93.55,1462900,03/13/20,Utilities
ATVI,Activision Blizzard,59.04,4.48,+8.21%,59.05,53.1,9942899,03/13/20,Communication Services
AVB,Avalonbay Communities,193.16,11.18,+6.14%,193.93,179.15,1343600,03/13/20,Real Estate
AVGO,Broadcom Ltd,234.22,15.44,+7.06%,234.46,201.16,8471300,03/13/20,Technology
AVY,Avery Dennison Corp,106.08,1.86,+1.78%,110.43,99.35,784500,03/13/20,Industrials
AWK,American Water Works,128.29,10.32,+8.75%,128.33,116.54,1667000,03/13/20,Utilities
AXP,American Express Company,99.6,16.07,+19.24%,100.08,84.3,12680399,03/13/20,Financial Services
AZO,Autozone,1012.73,34.54,+3.53%,1020.66,939.64,458500,03/13/20,Consumer Cyclical
BA,Boeing Company,170.2,15.36,+9.92%,178.28,161.38,21168398,03/13/20,Industrials
BAC,Bank of America Corp,24.16,3.65,+17.80%,24.25,21.48,128357398,03/13/20,Financial Services
BAX,Baxter International Inc,80.99,5.52,+7.31%,81.32,73.59,5774100,03/13/20,Healthcare
BBY,Best Buy Company,61.06,5.66,+10.22%,61.48,54.39,4209800,03/13/20,Consumer Cyclical
BDX,Becton Dickinson and Company,236.5,15.93,+7.22%,239.02,216.09,3459300,03/13/20,Healthcare
BEN,Franklin Resources,18.11,1.35,+8.05%,18.38,16.8,7078000,03/13/20,Financial Services
BF.B,Brown Forman Inc Cl B,53.15,3.18,+6.36%,53.85,49.88,1467300,03/13/20,Consumer Goods
BIIB,Biogen Inc,305.21,36.33,+13.51%,306.0,276.24,3641000,03/13/20,Healthcare
BK,Bank of New York Mellon Corp,34.13,4.61,+15.62%,34.13,30.45,9089300,03/13/20,Financial Services
BKNG,Booking Holdings Inc,1421.33,140.93,+11.01%,1421.67,1270.87,1153200,03/13/20,Consumer Cyclical
BKR,Baker Hughes A Ge Co. Cl A,12.73,2.03,+18.97%,12.73,10.9,9728800,03/13/20,Energy
BLK,Blackrock,413.78,27.56,+7.14%,419.24,388.0,1579400,03/13/20,Financial Services
BLL,Ball Corp,63.84,0.66,+1.04%,65.72,59.58,5489700,03/13/20,Consumer Cyclical
BMY,Bristol-Myers Squibb Company,54.99,2.24,+4.25%,55.5,51.78,23503500,03/13/20,Healthcare
BR,Broadridge Financial Solutions Llc,103.68,7.97,+8.33%,103.74,95.12,1887900,03/13/20,Technology
BRK.B,Berkshire Hathaway Cl B,196.4,20.43,+11.61%,196.5,178.41,14867000,03/13/20,
