Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Sector
BSX,Boston Scientific Corp,32.33,1.33,+4.29%,32.71,29.35,17420900,03/13/20,Healthcare
BWA,Borgwarner Inc,25.66,1.04,+4.22%,26.38,23.72,4991100,03/13/20,Consumer Cyclical
BXP,Boston Properties,117.06,5.17,+4.62%,118.24,111.69,1659000,03/13/20,Real Estate
C,Citigroup Inc,51.04,7.78,+17.98%,51.24,45.31,40519801,03/13/20,Financial Services
CAG,Conagra Brands Inc,24.79,0.65,+2.69%,25.37,22.83,7255400,03/13/20,Consumer Defensive
CAH,Cardinal Health,47.62,5.23,+12.34%,47.75,42.56,4410300,03/13/20,Healthcare
CAT,Caterpillar Inc,99.64,7.38,+8.00%,99.91,90.14,8718600,03/13/20,Industrials
CB,Chubb Ltd,121.86,5.12,+4.39%,123.42,113.05,5280100,03/13/20,Financial Services
CBOE,CBOE Global Markets Inc,94.8,1.33,+1.42%,99.58,91.31,1711400,03/13/20,Financial Services
CBRE,CBRE Group Inc,46.38,1.85,+4.15%,47.21,43.51,3877500,03/13/20,Real Estate
CCI,Crown Castle International Corp,155.09,12.58,+8.83%,158.0,143.17,3769000,03/13/20,Real Estate
CCL,Carnival Corp,17.58,2.61,+17.43%,18.46,15.01,55565699,03/13/20,Consumer Cyclical
CDNS,Cadence Design Sys,62.47,5.53,+9.71%,62.47,55.5,3988500,03/13/20,Technology
CDW,CDW Corp,101.3,9.83,+10.75%,101.38,92.51,2292300,03/13/20,Technology
CE,Celanese Corp,78.41,5.14,+7.02%,79.51,72.35,1574800,03/13/20,Basic Materials
CERN,Cerner Corp,64.43,-0.25,-0.39%,67.51,60.68,6424400,03/13/20,Healthcare
CF,Cf Industries Holdings,27.68,3.26,+13.35%,27.7,23.23,4127100,03/13/20,Basic Materials
CFG,Citizens Financial Group Inc/Ri,23.66,2.41,+11.34%,23.85,21.53,9329400,03/13/20,Financial Services
CHD,Church & Dwight Company,63.29,-0.12,-0.19%,66.04,62.11,4123600,03/13/20,Consumer Defensive
CHRW,C.H. Robinson Ww,62.37,2.26,+3.76%,64.28,59.18,2217400,03/13/20,Industrials
CHTR,Charter Communicatio,454.19,26.65,+6.23%,454.52,413.66,3147600,03/13/20,Communication Services
CI,Cigna Corp,179.87,15.6,+9.50%,180.0,164.23,5081700,03/13/20,Healthcare
CINF,Cincinnati Financial,90.58,10.02,+12.44%,90.6,84.09,1517600,03/13/20,Financial Services
CL,Colgate-Palmolive Company,69.1,5.21,+8.15%,69.21,64.2,11952899,03/13/20,Consumer Defensive
CLX,Clorox Company,167.77,9.07,+5.72%,168.33,156.68,2964600,03/13/20,Consumer Defensive
CMA,Comerica Inc,38.67,3.72,+10.64%,38.69,34.03,5046100,03/13/20,Financial Services
CMCSA,Comcast Corp A,39.33,4.39,+12.56%,39.72,34.48,66243305,03/13/20,Communication Services
CME,CME Group Inc,182.01,9.7,+5.63%,184.16,164.76,4385800,03/13/20,Financial Services
CMG,Chipotle Mexican Grill,630.36,27.36,+4.54%,655.55,600.92,1089200,03/13/20,Consumer Cyclical
CMI,Cummins Inc,136.84,7.75,+6.00%,137.92,129.5,2252400,03/13/20,Industrials
CMS,Cms Energy Corp,62.39,3.5,+5.94%,62.63,57.9,4145300,03/13/20,Utilities
CNC,Centene Corp,63.57,6.44,+11.27%,63.97,56.98,8702400,03/13/20,Healthcare
CNP,Centerpoint Energy Inc,15.55,0.68,+4.57%,15.73,14.0,11802101,03/13/20,Utilities
COF,Capital One Financial Corp,72.84,9.21,+14.47%,72.99,66.29,5763900,03/13/20,Financial Services
COG,Cabot Oil & Gas Corp,18.37,2.33,+14.53%,18.75,16.23,20152699,03/13/20,Energy
COO,Cooper Companies,291.04,10.99,+3.92%,292.48,272.78,601800,03/13/20,Healthcare
COP,Conocophillips,31.38,3.18,+11.28%,31.74,27.58,17506900,03/13/20,Energy
COST,Costco Wholesale,302.27,22.42,+8.01%,303.24,278.27,6100100,03/13/20,Consumer Defensive
COTY,Coty Inc,7.77,1.47,+23.33%,7.81,6.77,10497800,03/13/20,Consumer Defensive
CPB,Campbell Soup Company,49.28,1.6,+3.36%,49.37,45.42,5263300,03/13/20,Consumer Defensive
CPRI,Capri Holdings Ltd,13.93,-0.41,-2.86%,15.65,12.78,8303399,03/13/20,Consumer Cyclical
CPRT,Copart Inc,73.84,4.99,+7.25%,73.94,68.49,3971900,03/13/20,Industrials
CRM,Salesforce.com Inc,147.78,7.19,+5.11%,149.5,135.32,13765400,03/13/20,Technology
CSCO,Cisco Systems Inc,37.64,4.44,+13.37%,37.68,33.33,53859598,03/13/20,Technology
CSX,CSX Corp,57.94,4.53,+8.48%,58.79,54.01,12273301,03/13/20,Industrials
CTAS,Cintas Corp,243.58,17.89,+7.93%,244.07,223.6,1253500,03/13/20,Industrials
CTL,Centurylink,10.12,0.84,+9.05%,10.25,9.18,21022900,03/13/20,Communication Services
CTSH,Cognizant Tech Sol,52.62,3.64,+7.43%,52.7,48.69,5853600,03/13/20,Technology
CTVA,Corteva Inc,24.82,2.48,+11.10%,25.0,21.55,7214500,03/13/20,Basic Materials
CTXS,Citrix Systems Inc,113.67,8.61,+8.20%,113.84,106.38,3337800,03/13/20,Technology
CVS,CVS Corp,59.64,5.04,+9.23%,59.8,54.46,15473500,03/13/20,Healthcare
CVX,Chevron Corp,83.42,7.16,+9.39%,83.5,74.11,23497500,03/13/20,Energy
CXO,Concho Resources Inc,46.87,7.34,+18.57%,46.93,38.84,5409400,03/13/20,Energy
D,Dominion Resources,78.29,6.98,+9.79%,78.36,71.32,7362600,03/13/20,Utilities
DAL,Delta Air Lines Inc,38.36,4.65,+13.79%,38.74,34.79,33052402,03/13/20,Industrials
DD,Du Pont De.Nemours Inc,37.1,3.82,+11.48%,37.17,34.18,10537200,03/13/20,Basic Materials
DE,Deere & Company,138.96,8.57,+6.57%,139.29,130.53,2525500,03/13/20,Industrials
DFS,Discover Financial Services,51.76,6.88,+15.33%,51.89,46.24,4450400,03/13/20,Financial Services
DG,Dollar General Corp,145.81,3.84,+2.70%,148.99,138.49,6267000,03/13/20,Consumer Defensive
DGX,Quest Diagnostics Inc,96.77,6.36,+7.03%,102.54,90.3,3270100,03/13/20,Healthcare
DHI,D.R. Horton,39.3,0.08,+0.20%,41.96,36.34,7475200,03/13/20,Consumer Cyclical
DHR,Danaher Corp,141.39,12.5,+9.70%,142.08,127.22,5745600,03/13/20,Healthcare
DIS,Walt Disney Company,102.52,10.71,+11.67%,102.87,92.25,40960000,03/13/20,Communication Services
DISCA,Discovery Comm A,22.89,0.61,+2.74%,24.04,20.88,6133400,03/13/20,Communication Services
DISCK,Discovery Comm Inc,21.28,0.09,+0.45%,22.86,19.81,4141000,03/13/20,Communication Services
DISH,Dish Network Corp,21.59,1.74,+8.77%,21.61,19.6,5995900,03/13/20,Communication Services
DLR,Digital Realty Trust,143.34,14.97,+11.66%,143.61,127.63,6545800,03/13/20,Real Estate
DLTR,Dollar Tree Inc,74.7,4.35,+6.18%,74.85,69.49,5591600,03/13/20,Consumer Defensive
DOV,Dover Corp,90.75,5.17,+6.04%,91.0,84.82,1438500,03/13/20,Industrials
DOW,Dow Inc,25.69,2.02,+8.53%,28.01,22.58,17350799,03/13/20,Basic Materials
DRE,Duke Realty Corp,31.88,4.44,+16.18%,31.9,27.67,3705500,03/13/20,Real Estate
DRI,Darden Restaurants,65.32,6.15,+10.39%,65.4,59.29,4062300,03/13/20,Consumer Cyclical
DTE,Dte Energy Company,96.44,5.26,+5.77%,96.44,89.58,2238600,03/13/20,Utilities
DUK,Duke Energy Corp,85.77,5.29,+6.57%,85.86,80.0,6156300,03/13/20,Utilities
DVA,Davita Healthcare Partners Inc,75.95,7.7,+11.28%,76.21,67.98,3427100,03/13/20,Healthcare
DVN,Devon Energy Corp,8.7,1.43,+19.67%,8.71,7.19,18626600,03/13/20,Energy
DXC,Dxc Technology Company,15.14,1.71,+12.73%,15.21,12.97,7363600,03/13/20,Technology
EA,Electronic Arts Inc,97.06,3.71,+3.97%,99.61,92.75,5841900,03/13/20,Communication Services
EBAY,Ebay Inc,33.99,0.96,+2.91%,34.81,32.99,20972100,03/13/20,Consumer Cyclical
ECL,Ecolab Inc,180.07,15.01,+9.09%,180.86,164.45,1908500,03/13/20,Basic Materials
ED,Consolidated Edison Company of New York,88.07,4.28,+5.11%,89.16,84.02,5699600,03/13/20,Utilities
EFX,Equifax Inc,140.71,5.24,+3.87%,142.42,130.71,1713300,03/13/20,Industrials
EIX,Edison International,53.25,0.82,+1.56%,55.35,49.78,4280600,03/13/20,Utilities
EL,Estee Lauder Companies,172.22,14.87,+9.45%,172.55,157.11,2880600,03/13/20,Consumer Defensive
EMN,Eastman Chemical Company,46.31,3.9,+9.20%,46.39,41.63,1955000,03/13/20,Basic Materials
EMR,Emerson Electric Company,50.33,4.15,+8.99%,50.33,45.3,12188100,03/13/20,Industrials
EOG,Eog Resources,34.8,2.3,+7.08%,35.82,30.25,13961000,03/13/20,Energy
EQIX,Equinix Inc,621.09,55.96,+9.90%,623.84,566.73,1081000,03/13/20,Real Estate
EQR,Equity Residential,73.61,3.6,+5.14%,74.22,69.29,4670800,03/13/20,Real Estate
ES,Eversource Energy,88.53,5.91,+7.15%,88.69,81.43,4368800,03/13/20,Utilities
ESS,Essex Property Trust,275.73,13.02,+4.96%,277.02,258.77,767800,03/13/20,Real Estate
ETFC,E*Trade Finl Corp,36.11,5.25,+17.01%,37.35,32.79,10981100,03/13/20,Financial Services
ETN,Eaton Corp,85.56,9.64,+12.70%,87.04,78.19,5712200,03/13/20,Industrials
ETR,Entergy Corp,102.93,1.29,+1.27%,107.28,96.62,2675200,03/13/20,Utilities
EVRG,Evergy Inc,59.09,3.13,+5.59%,59.75,54.31,2256200,03/13/20,Utilities
EW,Edwards Lifesciences Corp,185.5,-1.52,-0.81%,196.0,173.32,3869600,03/13/20,Healthcare
EXC,Exelon Corp,36.36,1.09,+3.09%,38.0,34.1,11414500,03/13/20,Utilities
EXPD,Expeditors Intl,65.15,3.13,+5.05%,65.26,61.01,3102000,03/13/20,Industrials
EXPE,Expedia Group Inc,69.63,4.59,+7.06%,69.98,58.56,9199101,03/13/20,Consumer Cyclical
EXR,Extra Space Storage Inc,96.58,0.3,+0.31%,100.27,92.82,2030400,03/13/20,Real Estate
F,Ford Motor Company,5.63,0.28,+5.23%,5.9,5.12,125375203,03/13/20,Consumer Cyclical
FANG,Diamondback Energy,27.19,1.57,+6.13%,28.18,25.35,6709800,03/13/20,Energy
FAST,Fastenal Company,34.09,3.22,+10.43%,34.15,31.21,9208700,03/13/20,Industrials
FB,Facebook Inc,170.28,15.81,+10.23%,170.79,157.6,35028602,03/13/20,Communication Services
FBHS,Fortune Brands Home & Security,48.6,0.95,+1.99%,50.47,44.76,2800800,03/13/20,Consumer Cyclical
FCX,Freeport-Mcmoran Inc,7.53,0.36,+5.02%,7.89,6.86,40387000,03/13/20,Basic Materials
FDX,Fedex Corp,106.63,9.63,+9.93%,106.68,96.0,4274900,03/13/20,Industrials
FE,Firstenergy Corp,41.24,2.72,+7.06%,41.25,38.72,6070100,03/13/20,Utilities
FFIV,F5 Networks Inc,105.7,7.37,+7.50%,105.78,98.19,1397900,03/13/20,Technology
FIS,Fidelity National Information Services,129.9,11.44,+9.66%,130.73,119.25,6787300,03/13/20,Technology
FISV,Fiserv Inc,103.42,8.5,+8.95%,103.65,95.36,8218200,03/13/20,Technology
FITB,Fifth Third Bncp,17.63,1.73,+10.88%,18.03,16.16,9912601,03/13/20,Financial Services
FLIR,Flir Systems Inc,32.08,1.04,+3.35%,34.75,30.72,2928500,03/13/20,Technology
FLS,Flowserve Corp,25.72,0.16,+0.63%,28.21,24.69,2364600,03/13/20,Industrials
FLT,Fleetcor Technologies,235.46,21.03,+9.81%,236.82,214.79,1779500,03/13/20,Technology
FMC,FMC Corp,88.05,10.61,+13.70%,88.23,78.21,1719000,03/13/20,Basic Materials
FOX,Fox Corp Cl B,25.38,-0.18,-0.70%,27.78,24.24,2710300,03/13/20,Communication Services
FOXA,Fox Corp Cl A,26.15,-0.07,-0.27%,28.64,24.6,6759900,03/13/20,Communication Services
FRC,First Republic Bank,96.81,9.38,+10.73%,97.15,89.17,2495900,03/13/20,Financial Services
FRT,Federal Realty Investment Trust,105.7,1.33,+1.27%,108.91,100.14,1433500,03/13/20,Real Estate
FTI,Technipfmc Plc,7.14,0.5,+7.53%,7.15,6.2,12007300,03/13/20,Energy
FTNT,Fortinet Inc,82.64,6.83,+9.01%,84.49,76.04,2803700,03/13/20,Technology
FTV,Fortive Corp,59.73,4.0,+7.18%,59.75,54.93,3340200,03/13/20,Technology
GD,General Dynamics Corp,139.64,7.41,+5.60%,141.57,131.62,4187700,03/13/20,Industrials
GE,General Electric Company,7.85,0.62,+8.58%,8.04,7.19,110144602,03/13/20,Industrials
GILD,Gilead Sciences Inc,70.75,2.17,+3.16%,72.0,67.5,30115998,03/13/20,Healthcare
GIS,General Mills,53.48,3.48,+6.96%,53.75,50.02,9723900,03/13/20,Consumer Defensive
GL,Globe Life Inc,71.58,7.8,+12.23%,71.65,63.8,1003200,03/13/20,Financial Services
GLW,Corning Inc,22.8,2.33,+11.38%,22.8,20.1,9033600,03/13/20,Technology
GM,General Motors Company,24.71,1.67,+7.25%,25.33,22.9,17909799,03/13/20,Consumer Cyclical
GOOG,Alphabet Cl C,1219.73,104.82,+9.40%,1219.76,1117.14,3700100,03/13/20,Communication Services
GOOGL,Alphabet Cl A,1214.27,102.72,+9.24%,1214.4,1112.29,3969900,03/13/20,Communication Services
GPC,Genuine Parts Company,79.27,0.82,+1.05%,81.88,75.68,1604600,03/13/20,Consumer Cyclical
GPN,Global Payments Inc,172.99,15.88,+10.11%,173.53,156.01,2972000,03/13/20,Industrials
GPS,Gap Inc,10.81,0.74,+7.35%,11.36,10.29,17753301,03/13/20,Consumer Cyclical
GRMN,Garmin Ltd,77.34,4.46,+6.12%,77.72,73.25,1430100,03/13/20,Technology
GS,Goldman Sachs Group,177.17,26.49,+17.58%,177.56,152.35,6368300,03/13/20,Financial Services
GWW,W.W. Grainger,266.02,19.83,+8.05%,266.12,246.37,543200,03/13/20,Industrials
HAL,Halliburton Company,7.15,0.73,+11.37%,7.35,6.32,43906602,03/13/20,Energy
HAS,Hasbro Inc,55.02,1.23,+2.29%,57.79,52.02,3069000,03/13/20,Consumer Cyclical
HBAN,Huntington Bcshs,9.5,1.12,+13.37%,9.5,8.52,15997500,03/13/20,Financial Services
HBI,Hanesbrands Inc,9.68,0.38,+4.09%,9.93,8.63,10841400,03/13/20,Consumer Cyclical
HCA,Hca Holdings Inc,104.28,2.77,+2.73%,108.52,101.07,6110000,03/13/20,Healthcare
HD,Home Depot,205.67,15.08,+7.91%,205.82,190.0,10292300,03/13/20,Consumer Cyclical
HES,Hess Corp,34.92,2.08,+6.33%,37.24,31.0,6294500,03/13/20,Energy
HFC,Hollyfrontier Corp,22.66,3.22,+16.56%,22.75,19.0,5499400,03/13/20,Energy
HIG,Hartford Financial Services Group,42.52,2.34,+5.82%,43.02,38.54,4190800,03/13/20,Financial Services
HII,Huntington Ingalls Industries,178.62,1.96,+1.11%,185.69,171.2,435400,03/13/20,Industrials
HLT,Hilton Inc,78.63,1.91,+2.49%,81.98,76.64,8068500,03/13/20,Consumer Cyclical
HOG,Harley-Davidson Inc,23.72,3.36,+16.50%,23.9,20.25,4233400,03/13/20,Consumer Cyclical
HOLX,Hologic Inc,40.58,1.14,+2.89%,42.09,38.13,3988900,03/13/20,Healthcare
HON,Honeywell International Inc,149.41,14.56,+10.80%,149.68,138.02,6324700,03/13/20,Industrials
HP,Helmerich & Payne,17.51,1.55,+9.71%,17.79,15.5,5563200,03/13/20,Energy
HPE,Hewlett Packard Enterprise Comp,9.86,0.74,+8.11%,9.89,8.94,13959101,03/13/20,Technology
HPQ,Hp Inc,17.18,-0.33,-1.88%,18.62,16.43,16605000,03/13/20,Technology
HRB,H&R Block,17.46,1.74,+11.07%,18.29,16.77,9755900,03/13/20,Consumer Cyclical
HRL,Hormel Foods Corp,42.4,2.32,+5.79%,42.45,39.8,5237200,03/13/20,Consumer Defensive
HSIC,Henry Schein Inc,56.71,1.65,+3.00%,59.31,51.99,2644900,03/13/20,Healthcare
HST,Host Marriott Financial Trust,11.41,0.9,+8.56%,11.42,9.73,27175301,03/13/20,Real Estate
HSY,Hershey Foods Corp,139.84,6.97,+5.25%,140.11,131.39,1905000,03/13/20,Consumer Defensive
HUM,Humana Inc,313.91,20.86,+7.12%,314.59,280.06,2184600,03/13/20,Healthcare
IBM,International Business Machines,107.95,5.14,+5.00%,109.16,100.81,12502101,03/13/20,Technology
ICE,Intercontinental Exchange,83.12,7.51,+9.93%,83.29,76.78,7338700,03/13/20,Financial Services
IDXX,Idexx Laboratories,254.17,13.17,+5.46%,255.54,230.33,1371000,03/13/20,Healthcare
IEX,Idex Corp,130.85,7.71,+6.26%,130.89,121.96,1185500,03/13/20,Industrials
IFF,International Flavors & Fragrances,109.02,9.08,+9.09%,109.02,100.27,1621100,03/13/20,Basic Materials
ILMN,Illumina Inc,233.33,10.05,+4.50%,235.5,211.24,2481000,03/13/20,Healthcare
INCY,Incyte Corp,73.84,5.82,+8.56%,74.0,69.55,3552400,03/13/20,Healthcare
INFO,IHS Markit Ltd,55.97,3.08,+5.82%,56.42,53.0,5901000,03/13/20,Industrials
INTC,Intel Corp,54.43,8.89,+19.52%,55.0,47.74,48805004,03/13/20,Technology
INTU,Intuit Inc,261.25,23.31,+9.80%,261.4,235.0,2399200,03/13/20,Technology
IP,International Paper Company,33.44,4.82,+16.84%,33.46,29.3,6027300,03/13/20,Consumer Cyclical
IPG,Interpublic Group of Companies,17.11,1.85,+12.12%,17.13,15.19,7965700,03/13/20,Communication Services
IPGP,Ipg Photonics Corp,112.15,6.27,+5.92%,112.75,104.04,675800,03/13/20,Technology
IQV,Iqvia Holdings Inc,118.71,5.7,+5.04%,120.6,111.08,2244600,03/13/20,Healthcare
IR,Ingersoll Rand Inc.,23.0,1.66,+7.78%,23.56,20.2,8556199,03/13/20,Industrial Goods
IRM,Iron Mountain Inc,28.99,2.36,+8.86%,29.27,26.87,5817500,03/13/20,Real Estate
ISRG,Intuitive Surg Inc,470.98,13.45,+2.94%,482.3,432.57,1868700,03/13/20,Healthcare
IT,Gartner Inc,106.31,3.97,+3.88%,108.18,98.71,1578000,03/13/20,Technology
ITW,Illinois Tool Works Inc,156.45,16.26,+11.60%,156.45,143.3,2994200,03/13/20,Industrials
IVZ,Invesco Plc,10.8,1.35,+14.29%,10.8,9.01,12335500,03/13/20,Financial Services
J,Jacobs Engineering Group Inc,86.76,7.64,+9.66%,86.77,80.7,1956700,03/13/20,Industrials
JBHT,J B Hunt Transport,87.89,4.5,+5.40%,88.79,83.92,1162200,03/13/20,Industrials
JCI,Johnson Controls Intl,32.81,2.29,+7.50%,32.81,30.66,9801000,03/13/20,Industrials
JKHY,Jack Henry & Assoc,160.9,5.75,+3.71%,162.14,147.17,1468500,03/13/20,Technology
JNJ,Johnson & Johnson,134.29,8.88,+7.08%,134.92,124.65,20084100,03/13/20,Healthcare
JNPR,Juniper Networks,20.3,1.1,+5.73%,20.58,18.64,4838000,03/13/20,Technology
JPM,JP Morgan Chase & Company,103.91,15.86,+18.01%,103.99,92.0,38543301,03/13/20,Financial Services
JWN,Nordstrom,21.59,1.71,+8.60%,22.13,20.18,8484300,03/13/20,Consumer Cyclical
K,Kellogg Company,63.66,5.47,+9.40%,63.78,59.51,3606900,03/13/20,Consumer Defensive
KEY,Keycorp,12.73,1.86,+17.11%,12.74,11.34,17318400,03/13/20,Financial Services
KEYS,Keysight Technologies Inc Comm,92.03,9.67,+11.74%,92.03,85.11,2417200,03/13/20,Technology
KHC,Kraft Heinz Company,23.97,3.91,+19.49%,23.99,20.7,15014300,03/13/20,Consumer Defensive
KIM,Kimco Realty Corp,13.22,0.5,+3.93%,13.61,12.47,9039101,03/13/20,Real Estate
