Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Sector
GME,Gamestop Corp,4.59,0.61,+15.33%,4.65,3.85,5787200,03/13/20,Consumer Cyclical
GMS,Gms Inc,15.91,-0.28,-1.73%,17.25,14.75,804500,03/13/20,Industrials
GNL,Global Net Lease Inc,14.77,1.63,+12.40%,14.77,12.6,1092300,03/13/20,Real Estate
GPI,Group 1 Automotive,51.74,0.87,+1.71%,54.44,48.56,349800,03/13/20,Consumer Cyclical
GPMT,Granite Point Mortgage Trust Inc,12.4,1.3,+11.71%,12.48,11.0,858500,03/13/20,Real Estate
GPOR,Gulfport Energy Corp,2.74,2.34,+585.00%,2.74,0.4,9802000,03/13/20,Energy
GPRE,Green Plains Inc,6.13,1.27,+26.13%,6.13,5.12,1682700,03/13/20,Basic Materials
GTLS,Chart Industries IN,24.04,-1.2,-4.75%,28.17,23.46,1491400,03/13/20,Industrials
GTX,Garrett Motion Inc,4.55,0.48,+11.79%,4.56,4.18,829200,03/13/20,Consumer Cyclical
GTY,Getty Realty Corp,23.9,2.94,+14.03%,23.95,21.44,266600,03/13/20,Real Estate
GVA,Granite Construction Inc,12.72,1.04,+8.90%,12.77,10.8,1593800,03/13/20,Industrials
GWB,Great Western Bancorp Inc,22.8,2.47,+12.15%,22.82,21.06,604800,03/13/20,Financial Services
HA,Hawaiian Hlds Inc,14.13,1.87,+15.25%,14.16,11.87,2913600,03/13/20,Industrials
HAFC,Hanmi Financial Cp,11.94,0.14,+1.19%,12.49,11.71,401700,03/13/20,Financial Services
HAYN,Haynes Intl Inc,21.0,1.24,+6.28%,22.31,19.5,124600,03/13/20,Industrials
HCC,Warrior Met Coal Inc,13.64,2.13,+18.51%,13.73,12.2,1295500,03/13/20,Basic Materials
HCI,Homeowners Choice,38.29,2.48,+6.93%,39.24,36.44,57500,03/13/20,Financial Services
HFWA,Heritage Financial,21.54,2.7,+14.33%,21.59,19.3,305000,03/13/20,Financial Services
HI,Hillenbrand Inc,18.02,0.49,+2.80%,18.73,16.48,999600,03/13/20,Industrials
HIBB,Hibbett Sports Inc,14.53,-0.74,-4.85%,15.87,13.66,787800,03/13/20,Consumer Cyclical
HLIT,Harmonic Inc,5.03,0.12,+2.44%,5.15,4.75,879200,03/13/20,Technology
HLX,Helix Energy Solutions Group,2.13,0.48,+29.09%,2.13,1.64,4298600,03/13/20,Energy
HMN,Horace Mann Educators Corp,38.82,4.42,+12.85%,38.95,34.86,312000,03/13/20,Financial Services
HMST,Homestreet Inc,23.11,2.54,+12.35%,23.91,21.87,294700,03/13/20,Financial Services
HMSY,Hms Hlds Cp,21.12,-0.09,-0.42%,22.47,19.67,833900,03/13/20,Healthcare
HNGR,Hanger Inc,18.7,0.1,+0.54%,19.52,18.11,517000,03/13/20,Healthcare
HOPE,Hope Bancorp Inc,9.57,0.85,+9.75%,9.6,8.78,1799600,03/13/20,Financial Services
HPR,Highpoint Resources Corp,0.25,0.06,+30.14%,0.25,0.2,2210900,03/13/20,Energy
HSC,Harsco Corp,7.31,0.68,+10.26%,7.53,6.56,1477200,03/13/20,Industrials
HSII,Heidrick & Struggl,22.65,1.86,+8.95%,23.62,21.03,164800,03/13/20,Industrials
HSKA,Heska Corp,81.74,11.38,+16.17%,85.93,66.05,110000,03/13/20,Healthcare
HSTM,Healthstream Inc,24.64,4.61,+23.02%,24.7,20.47,285500,03/13/20,Healthcare
HT,Hersha Hospitality Trust,5.32,-0.02,-0.37%,5.99,5.0,1200500,03/13/20,Real Estate
HTLD,Heartland Express,17.35,1.35,+8.44%,17.53,16.21,718200,03/13/20,Industrials
HUBG,Hub Group Inc A,40.92,0.75,+1.88%,42.14,38.38,346600,03/13/20,Industrials
HVT,Haverty Furniture Companies,14.78,1.06,+7.73%,14.93,14.06,164200,03/13/20,Consumer Cyclical
HWKN,Hawkins Inc,37.34,3.29,+9.66%,37.34,34.85,63300,03/13/20,Basic Materials
HZO,Marinemax Inc,10.52,0.95,+9.93%,10.52,9.15,299200,03/13/20,Consumer Cyclical
IBP,Installed Building Products,46.69,4.55,+10.80%,46.69,39.62,457900,03/13/20,Industrials
ICHR,Ichor Holdings Ltd,22.56,1.02,+4.74%,23.23,21.13,611400,03/13/20,Technology
IIIN,Insteel Industries,13.83,0.8,+6.14%,13.85,12.42,99900,03/13/20,Industrials
IIPR,Innovative Industrial Properties,71.53,5.84,+8.89%,72.56,65.0,618900,03/13/20,Real Estate
ILPT,Industrial Logistics Properties Trust,17.75,0.32,+1.84%,18.3,16.81,894800,03/13/20,Real Estate
INDB,Independent Bk Corp,57.87,5.5,+10.50%,57.89,53.55,306100,03/13/20,Financial Services
INGN,Inogen Inc,43.85,3.27,+8.06%,44.08,40.89,728700,03/13/20,Healthcare
INN,Summit Hotel Properties,6.0,0.27,+4.71%,6.17,5.3,1869000,03/13/20,Real Estate
INTL,Intl Fcstone Inc,33.0,0.57,+1.76%,35.01,31.0,126300,03/13/20,Financial Services
INVA,Innoviva Inc,10.89,0.34,+3.22%,11.08,9.71,1121700,03/13/20,Healthcare
IOSP,Innospec Inc,69.94,4.49,+6.86%,70.64,64.41,157200,03/13/20,Basic Materials
IPAR,Inter Parfums Inc,50.68,5.69,+12.65%,50.68,45.52,131900,03/13/20,Consumer Defensive
IRBT,Irobot Corp,40.98,4.06,+11.00%,41.0,37.62,1706700,03/13/20,Technology
IRDM,Iridium Comm Inc,23.66,1.85,+8.48%,23.72,20.8,1308000,03/13/20,Communication Services
IRET,Investors Real Estate Trust,71.47,5.45,+8.26%,71.47,64.76,196100,03/13/20,Real Estate
IRT,Independence Realty Trust Inc,12.38,0.88,+7.65%,12.38,11.23,1619100,03/13/20,Real Estate
ITGR,Integer Holdings Corp,75.86,1.74,+2.35%,77.57,68.92,469000,03/13/20,Healthcare
ITRI,Itron Inc,61.29,3.61,+6.26%,61.53,56.95,366600,03/13/20,Technology
IVC,Invacare Corp,5.69,0.47,+9.00%,5.8,5.09,708200,03/13/20,Healthcare
IVR,Invesco Mortgage Capital Inc,11.5,0.44,+3.98%,12.32,10.69,4006800,03/13/20,Real Estate
JBSS,John B Sanfilippo,74.0,4.96,+7.18%,74.32,69.1,130800,03/13/20,Consumer Defensive
JBT,John Bean Technologies Corp,76.34,8.13,+11.92%,76.34,65.25,282200,03/13/20,Industrials
JCP,J.C. Penney Company Inc,0.6,0.19,+46.31%,0.6,0.43,12197100,03/13/20,Consumer Cyclical
JJSF,J J Snack Foods,135.0,8.45,+6.68%,135.05,123.56,163800,03/13/20,Consumer Defensive
JOE,St. Joe Company,19.23,2.74,+16.62%,19.27,16.78,367200,03/13/20,Real Estate
JRVR,James River Gp HD,34.85,1.42,+4.25%,35.04,33.3,197900,03/13/20,Financial Services
KALU,Kaiser Aluminum,84.12,9.38,+12.55%,84.36,74.81,182000,03/13/20,Basic Materials
KAMN,Kaman Corp,39.95,1.85,+4.86%,41.19,37.15,436100,03/13/20,Industrials
KELYA,Kelly Svcs Cl A,12.93,1.2,+10.23%,12.93,11.56,349000,03/13/20,Industrials
KEM,Kemet Corp,23.43,0.88,+3.90%,23.58,22.18,1909500,03/13/20,Technology
KFY,Korn/Ferry International,27.29,3.69,+15.64%,27.29,23.82,863800,03/13/20,Industrials
KLIC,Kulicke and Soffa,22.9,4.44,+24.05%,22.97,19.27,1074800,03/13/20,Technology
KLXE,Klx Energy Services Holdings Inc,1.45,0.32,+27.75%,1.45,1.11,518200,03/13/20,Energy
KN,Knowles Corp,14.05,0.78,+5.88%,14.06,13.2,1486100,03/13/20,Technology
KNSL,Kinsale Capital Group Inc,104.54,4.18,+4.17%,104.99,96.18,272500,03/13/20,Financial Services
KOP,Koppers Holdings Inc,14.09,1.05,+8.05%,14.11,12.76,296300,03/13/20,Basic Materials
KRA,Kraton Performance Polymers Inc,6.84,1.14,+20.00%,6.84,5.5,614000,03/13/20,Basic Materials
KREF,KKR Real Estate Finance Trust Inc,16.35,0.22,+1.36%,17.32,15.1,1157900,03/13/20,Real Estate
KRG,Kite Realty Group Trust,13.57,1.86,+15.88%,13.57,11.8,1035200,03/13/20,Real Estate
KTB,Kontoor Brands Inc [Ktb/I],27.67,1.0,+3.75%,28.6,25.06,931900,03/13/20,Consumer Cyclical
KWR,Quaker Chemical Corp,144.91,14.13,+10.80%,144.91,128.85,256100,03/13/20,Basic Materials
LAD,Lithia Motors,95.4,5.1,+5.65%,98.0,91.0,363300,03/13/20,Consumer Cyclical
LCI,Lannett Co. Inc,6.67,0.31,+4.87%,6.82,6.0,728200,03/13/20,Healthcare
LCII,Lci Industries,83.62,8.23,+10.92%,84.09,73.2,219600,03/13/20,Consumer Cyclical
LDL,Lydall Inc,9.17,0.18,+2.00%,9.42,8.25,260200,03/13/20,Consumer Cyclical
LGIH,LGI Homes Inc,59.81,2.15,+3.73%,60.75,52.35,842900,03/13/20,Consumer Cyclical
LHCG,LHC Group Inc,129.44,12.04,+10.26%,130.02,109.89,583300,03/13/20,Healthcare
LL,Lumber Liquidators Holdings Inc,5.9,-0.8,-11.94%,7.15,5.63,2465300,03/13/20,Consumer Cyclical
LMAT,Lemaitre Vascular,24.45,3.07,+14.36%,24.59,22.0,296900,03/13/20,Healthcare
LMNX,Luminex Corp,26.62,3.53,+15.29%,26.93,22.8,627300,03/13/20,Healthcare
LNN,Lindsay Corp,82.1,4.87,+6.31%,82.11,76.17,96800,03/13/20,Industrials
LNTH,Lantheus Holdings,12.92,0.81,+6.69%,12.96,11.95,663000,03/13/20,Healthcare
LOCO,El Pollo Loco,9.42,0.2,+2.17%,9.78,8.89,663500,03/13/20,Consumer Cyclical
LPG,Dorian Lpg Ltd,8.88,1.53,+20.82%,8.9,7.77,1232400,03/13/20,Energy
LPI,Laredo Petroleum Holdings Inc,0.74,0.28,+60.85%,0.95,0.36,14344700,03/13/20,Energy
LPSN,Liveperson Inc,20.67,0.58,+2.86%,21.33,18.44,1540500,03/13/20,Technology
